Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Central Europe and the Baltics,CEB,0.0,0.90914,0.84217,0.89294,0.93327,0.76565,0.73904,0.93288,0.86637,0.73823,0.53538,0.50508,0.72455,0.75283,0.81813,0.90313,0.89004,0.81022,0.68107,0.58789,0.55942,0.55197,0.56099,0.52674,0.49884,0.45959,0.44438,0.43001,0.35388,0.10381,-0.05281,-0.24711,-0.32408,-0.06315,-0.01847,-0.14302,-0.21668,-0.18625,-0.16786,-0.16239,-0.56219,-0.72642,-0.65046,-0.31375,-0.27428,-0.27255,-0.25408,-0.37225,-0.35763,-0.19181,-0.36167,-0.23693,-0.22915,-0.2132,-0.20976,-0.23024,-0.25529
Switzerland,CHE,0.0,1.97862,2.53501,2.13766,1.65426,1.15484,1.04515,1.23905,1.25926,1.12542,0.7224,0.52479,0.76248,0.73823,0.53852,-0.04374,-0.5716,-0.33901,0.00898,0.20081,0.39707,0.54706,0.58429,0.42879,0.35911,0.44144,0.52039,0.62812,0.73494,0.80854,1.02687,1.24983,1.10252,0.91072,0.79716,0.66824,0.44164,0.24089,0.29714,0.47692,0.56195,0.63277,0.75647,0.74192,0.68743,0.6406,0.62756,0.89369,1.27062,1.24948,1.04156,1.11188,1.06182,1.14988,1.2201,1.13834,1.09203
Chile,CHL,0.0,2.07859,2.06299,2.02596,1.96284,1.88382,1.7994,1.72494,1.66928,1.63894,1.62636,1.61814,1.60578,1.59217,1.57502,1.5557,1.54174,1.53051,1.51181,1.4833,1.45076,1.41443,1.38815,1.38722,1.41897,1.47197,1.52686,1.57126,1.60677,1.62936,1.63951,1.64842,1.65031,1.62751,1.57522,1.50298,1.42575,1.35396,1.2869,1.22804,1.17721,1.12619,1.07881,1.04804,1.03764,1.04201,1.05593,1.06854,1.07144,1.05928,1.03893,0.99744,0.96306,0.97885,1.06115,1.17776,1.3252
China,CHN,0.0,-1.01553,0.82046,2.45765,2.32068,2.38137,2.78733,2.5707,2.6109,2.74,2.76168,2.74692,2.45736,2.2834,2.06596,1.76639,1.54734,1.36278,1.33818,1.33393,1.25422,1.28095,1.47267,1.44495,1.31207,1.3617,1.4874,1.60361,1.61007,1.53317,1.4673,1.36443,1.22554,1.14962,1.13026,1.08651,1.04814,1.02345,0.95955,0.86585,0.78796,0.72638,0.67,0.62286,0.59393,0.58812,0.55837,0.52227,0.51239,0.49738,0.48296,0.47915,0.48723,0.49371,0.50631,0.50814,0.54148
Cote d'Ivoire,CIV,0.0,3.58828,3.76178,3.84634,3.8248,3.7466,3.64439,3.59443,3.65095,3.83659,4.0926,4.34704,4.53629,4.65102,4.67834,4.6462,4.59534,4.55007,4.50489,4.46528,4.42491,4.38414,4.32849,4.24345,4.12562,3.99151,3.84795,3.72244,3.63969,3.60881,3.60668,3.60335,3.57549,3.52146,3.43492,3.32464,3.22472,3.1251,2.98687,2.80304,2.59867,2.3921,2.22111,2.11354,2.08544,2.11443,2.15804,2.19552,2.24026,2.28716,2.33457,2.38551,2.43593,2.47667,2.50455,2.52209,2.5361
Cameroon,CMR,0.0,2.06659,2.12877,2.18708,2.23879,2.28637,2.33399,2.38323,2.4319,2.47939,2.52668,2.57255,2.61899,2.66784,2.71955,2.77283,2.82315,2.86998,2.91768,2.96605,3.01241,3.05141,3.08278,3.11117,3.13695,3.15696,3.17304,3.17716,3.15857,3.11455,3.05367,2.99231,2.93548,2.87511,2.81216,2.75076,2.69015,2.63927,2.61,2.60652,2.6211,2.63964,2.6557,2.67376,2.6922,2.7098,2.72711,2.74201,2.7508,2.75231,2.74777,2.74044,2.73126,2.71824,2.70156,2.68179,2.66049
"Congo, Dem. Rep.",COD,0.0,2.52198,2.54752,2.58846,2.64959,2.71976,2.79405,2.851,2.87076,2.84557,2.79323,2.72613,2.67398,2.65868,2.69135,2.7508,2.82768,2.88107,2.8749,2.79436,2.67329,2.55229,2.47273,2.44683,2.48893,2.58165,2.65066,2.71614,2.86103,3.09843,3.3708,3.67658,3.89352,3.89261,3.63557,3.23448,2.80099,2.47156,2.30687,2.35695,2.55044,2.76927,2.93636,3.06827,3.1455,3.18422,3.2188,3.26138,3.29397,3.3169,3.33113,3.33768,3.33756,3.33136,3.31968,3.30283,3.28291
"Congo, Rep.",COG,0.0,2.4124,2.47339,2.53029,2.58467,2.63438,2.68083,2.72266,2.76725,2.81246,2.85625,2.89787,2.93072,2.95031,2.95313,2.9453,2.93088,2.91785,2.91098,2.91038,2.91438,2.92092,2.92002,2.90548,2.87273,2.82974,2.78653,2.75295,2.73226,2.72751,2.73446,2.74415,2.75439,2.76942,2.79174,2.81643,2.84993,2.88252,2.89995,2.89786,2.88636,2.85337,2.83259,2.87441,2.99401,3.14909,3.3219,3.43751,3.43274,3.28354,3.04901,2.79448,2.5909,2.46511,2.44064,2.48361,2.53959
Colombia,COL,0.0,3.12727,3.12022,3.09365,3.04566,2.98151,2.9182,2.852,2.76517,2.65521,2.53469,2.40982,2.30217,2.23142,2.20733,2.21467,2.22964,2.23603,2.23642,2.22627,2.20822,2.19175,2.17718,2.15567,2.12616,2.09164,2.0531,2.0171,1.99032,1.9757,1.96794,1.96162,1.94853,1.924,1.88489,1.83562,1.78227,1.7311,1.68362,1.64205,1.60375,1.56724,1.52695,1.47772,1.41717,1.34977,1.28873,1.23448,1.17616,1.11249,1.05065,0.96837,0.90034,0.90692,1.01049,1.17045,1.36765
Comoros,COM,0.0,1.56677,1.56339,1.59673,1.67328,1.78565,1.9356,2.06805,2.14363,2.1306,2.07703,1.97554,1.93769,2.0574,2.38565,2.8327,3.31157,3.67189,3.81677,3.70299,3.43084,3.12672,2.89834,2.76018,2.74974,2.81724,2.89107,2.93496,2.9583,2.96341,2.94933,2.93941,2.92377,2.89637,2.85313,2.79797,2.74555,2.69071,2.64077,2.57869,2.52234,2.46424,2.41551,2.38271,2.37499,2.38237,2.39064,2.39672,2.40363,2.40872,2.41254,2.41757,2.41923,2.40687,2.38336,2.34704,2.31006
