Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Caribbean small states,CSS,62.371,62.869,63.327,63.742,64.113,64.442,64.734,65.0,65.25,65.492,65.736,65.987,66.246,66.512,66.785,67.061,67.339,67.613,67.878,68.131,68.367,68.581,68.771,68.937,69.076,69.19,69.284,69.372,69.435,69.502,69.563,69.62,69.707,69.713,69.756,69.804,69.858,69.989,69.999,70.091,70.204,70.341,70.573,70.687,70.892,71.113,71.345,71.582,71.817,72.042,72.252,72.445,72.619,72.779,72.926,73.063,73.192
Cuba,CUB,63.834,64.445,65.066,65.696,66.328,66.958,67.575,68.174,68.748,69.293,69.812,70.31,70.791,71.259,71.712,72.144,72.55,72.923,73.258,73.552,73.803,74.013,74.184,74.323,74.435,74.519,74.574,74.602,74.614,74.622,74.644,74.702,74.807,74.963,75.169,75.415,75.683,75.95,76.203,76.437,76.658,76.88,77.119,77.381,77.663,77.95,78.225,78.469,78.672,78.833,78.959,79.064,79.167,79.282,79.415,79.57,79.742
Cyprus,CYP,69.618,69.949,70.272,70.587,70.895,71.197,71.491,71.776,72.052,72.318,72.576,72.825,73.067,73.301,73.53,73.753,73.971,74.183,74.39,74.592,74.79,74.984,75.174,75.359,75.541,75.718,75.892,76.063,76.23,76.393,76.554,76.711,76.865,77.017,77.166,77.312,77.456,77.598,77.738,77.876,78.01,78.14,78.264,78.386,78.506,78.631,78.764,78.911,79.071,79.245,79.43,79.62,79.81,79.995,80.173,80.344,80.508
Czech Republic,CZE,70.349,70.513,69.787,70.304,70.46,70.163,70.385,70.264,69.841,69.367,69.44,69.677,70.177,70.023,70.087,70.415,70.533,70.573,70.644,70.75,70.278,70.722,70.808,70.591,70.838,71.046,70.997,71.446,71.641,71.676,71.384,71.898,72.272,72.768,72.973,73.075,73.715,73.825,74.515,74.668,74.968,75.173,75.222,75.171,75.722,75.924,76.524,76.724,76.976,77.078,77.424,77.873,78.076,78.176,78.824,78.578,78.332
Germany,DEU,69.31,69.508,69.692,69.86,70.014,70.152,70.271,70.374,70.465,70.551,70.64,70.743,70.867,71.017,71.195,71.402,71.634,71.884,72.143,72.409,72.678,72.95,73.227,73.505,73.783,74.055,74.314,74.56,74.792,75.013,75.228,75.32,75.82,75.871,76.271,76.422,76.673,77.073,77.476,77.727,77.927,78.329,78.229,78.38,78.68,78.932,79.132,79.534,79.737,79.837,79.988,80.437,80.539,80.49,81.09,80.641,80.641
Djibouti,DJI,44.038,44.469,44.892,45.309,45.727,46.166,46.654,47.203,47.814,48.476,49.16,49.827,50.442,50.982,51.442,51.832,52.177,52.513,52.865,53.241,53.639,54.049,54.451,54.828,55.174,55.488,55.772,56.032,56.271,56.488,56.678,56.831,56.943,57.017,57.056,57.065,57.05,57.022,56.998,56.992,57.021,57.1,57.233,57.424,57.677,57.999,58.393,58.848,59.345,59.865,60.383,60.87,61.31,61.691,62.006,62.26,62.465
Denmark,DNK,72.177,72.438,72.32,72.4,72.485,72.371,72.444,72.922,73.121,73.221,73.343,73.415,73.439,73.682,73.808,74.075,73.74,74.632,74.393,74.219,74.102,74.23,74.551,74.42,74.562,74.428,74.58,74.691,74.772,74.8,74.805,75.158,75.194,75.117,75.375,75.213,75.591,75.945,76.139,76.341,76.593,76.793,76.895,77.144,77.493,77.844,78.095,78.195,78.446,78.598,79.1,79.8,80.051,80.3,80.7,80.702,80.705
Dominican Republic,DOM,51.787,52.519,53.237,53.943,54.634,55.312,55.975,56.625,57.259,57.875,58.468,59.033,59.569,60.073,60.549,60.997,61.417,61.817,62.205,62.588,62.977,63.38,63.803,64.247,64.714,65.207,65.728,66.267,66.812,67.352,67.866,68.335,68.749,69.103,69.397,69.637,69.837,70.017,70.193,70.374,70.568,70.775,70.99,71.207,71.425,71.644,71.862,72.078,72.29,72.498,72.702,72.901,73.098,73.292,73.483,73.673,73.861
Algeria,DZA,46.138,46.596,47.054,47.507,47.956,48.392,48.809,49.208,49.595,49.98,50.369,50.77,51.198,51.673,52.215,52.863,53.658,54.606,55.696,56.906,58.196,59.521,60.823,62.047,63.156,64.113,64.896,65.525,66.025,66.416,66.725,66.983,67.226,67.482,67.774,68.115,68.504,68.926,69.367,69.822,70.292,70.778,71.276,71.78,72.281,72.767,73.225,73.648,74.032,74.374,74.676,74.944,75.187,75.418,75.641,75.86,76.078
East Asia & Pacific (excluding high income),EAP,45.725,46.173,46.894,47.925,49.273,50.86,52.572,54.272,55.841,57.221,58.389,59.361,60.206,60.984,61.713,62.404,63.064,63.683,64.255,64.781,65.258,65.687,66.075,66.424,66.741,67.028,67.288,67.523,67.735,67.931,68.115,68.291,68.463,68.638,68.825,69.035,69.28,69.562,69.88,70.226,70.594,70.972,71.343,71.697,72.026,72.325,72.595,72.841,73.07,73.284,73.482,73.669,73.846,74.013,74.176,74.335,74.493
Early-demographic dividend,EAR,45.211,45.88,46.489,47.037,47.64,48.235,48.872,49.437,49.983,50.514,51.037,51.559,52.084,52.623,53.17,53.722,54.274,54.814,55.335,55.83,56.298,56.742,57.171,57.596,58.022,58.451,58.882,59.313,59.74,60.17,60.604,61.032,61.46,61.888,62.307,62.713,63.102,63.47,63.822,64.16,64.486,64.806,65.125,65.448,65.78,66.123,66.48,66.845,67.217,67.59,67.956,68.308,68.643,68.958,69.249,69.517,69.766
East Asia & Pacific,EAS,48.455,48.988,49.662,50.641,51.843,53.216,54.752,56.243,57.618,58.857,59.909,60.828,61.622,62.319,63.02,63.691,64.301,64.884,65.407,65.898,66.31,66.724,67.113,67.428,67.755,68.041,68.312,68.558,68.745,68.954,69.13,69.316,69.475,69.651,69.85,70.028,70.304,70.585,70.882,71.202,71.579,71.952,72.303,72.641,72.963,73.234,73.516,73.761,73.981,74.207,74.384,74.546,74.741,74.919,75.086,75.249,75.396
Europe & Central Asia (excluding high income),ECA,63.414,63.932,64.326,64.69,64.988,65.214,65.384,65.505,65.649,65.737,65.981,66.185,66.23,66.34,66.445,66.276,66.263,66.273,66.335,66.276,66.396,66.61,66.941,67.056,67.05,67.463,68.218,68.387,68.459,68.417,68.298,68.054,67.41,66.566,66.327,66.382,66.872,67.474,67.803,67.665,67.722,67.907,67.931,68.06,68.391,68.523,69.144,69.646,69.938,70.533,70.837,71.399,71.723,72.115,72.319,72.584,72.867
